company,end_date,location,salary,title,url
DRIMER,Publicado hace 2 días,"Lurigancho, Lima",2025,Practicante Profesional de Compras,https://www.bumeran.com.pe/empleos/practicante-profesional-de-compras-drimer-1116818046.html
LUZ DEL SUR S.A.A.,Publicado hace 2 días,"Lima, Lima",2025,PRACTICANTE DE ING. INDUSTRIAL,https://www.bumeran.com.pe/empleos/practicante-de-ing.-industrial-luz-del-sur-s.a.a.-1116816909.html
Compañia Minera Antamina,Actualizado ayer,"Surco, Lima",2025,Practicante de Reportes Financieros,https://www.bumeran.com.pe/empleos/practicante-de-reportes-financieros-compania-minera-antamina-1116815739.html
LUZ DEL SUR S.A.A.,Publicado hace 2 días,"San Juan de Miraflores, Lima",2025,PRACTICANTE TÉCNICO DE ADMINISTRACIÓN,https://www.bumeran.com.pe/empleos/practicante-tecnico-de-administracion-luz-del-sur-s.a.a.-1116815169.html
CLÍNICA ANGLO AMERICANA,Actualizado hace 1 hora,"San Isidro, Lima",2025,Practicante Profesional de Logística,https://www.bumeran.com.pe/empleos/practicante-profesional-de-logistica-clinica-anglo-americana-1116814670.html
Confidencial,Publicado hace 2 días,"Lurín, Lima",2025,Practicante de Trabajo Social,https://www.bumeran.com.pe/empleos/practicante-de-trabajo-social-1116814517.html
San Fernando - La buena Familia,Actualizado hace 9 horas,"Surquillo, Lima",2025,Practicante Profesional de Sanidad,https://www.bumeran.com.pe/empleos/practicante-profesional-de-sanidad-san-fernando-la-buena-familia-1116774623.html
BANCO PICHINCHA,Publicado hace 2 días,"Miraflores, Lima",2025,Practicante de Riesgo de Crédito,https://www.bumeran.com.pe/empleos/practicante-de-riesgo-de-credito-banco-pichincha-1116742450.html
TECSUR.S.A,Publicado hace 2 días,"San Juan de Miraflores, Lima",2025,Practicante Profesional - Auditoría,https://www.bumeran.com.pe/empleos/practicante-profesional-auditoria-tecsur.s.a-1116818942.html
PISOPAK PERU SAC,Actualizado hace 2 días,"Lima, Lima",2025,PRACTICANTE PROFECIONAL DE MARKETING,https://www.bumeran.com.pe/empleos/practicante-profecional-de-marketing-pisopak-peru-sac-1116807480.html
PANORAMA CSC SOCIEDAD ANONIMA CERRADA,Publicado hace 16 minutos,"Chorrillos, Lima",2025,Practicante Profesional de Community Manager,https://www.bumeran.com.pe/empleos/practicante-profesional-de-community-manager-panorama-csc-sociedad-anonima-cerrada-1116840796.html
IBT GROUP,Publicado hace 32 minutos,"Callao, Lima",2025,Practicante Legal - Hospital Barton,https://www.bumeran.com.pe/empleos/practicante-legal-hospital-barton-ibt-group-1116840664.html
GRUPO JLB S.A.,Publicado hace 32 minutos,"San Isidro, Lima",2025,Practicante profesional de SGI (Hibrido),https://www.bumeran.com.pe/empleos/practicante-profesional-de-sgi-hibrido-grupo-jlb-s.a.-1116840663.html
ADECCO PERU S.A.,Publicado hace 41 minutos,"San Isidro, Lima",2025,Practicante Profesional Eléctrico Comercial,https://www.bumeran.com.pe/empleos/practicante-profesional-electrico-comercial-adecco-peru-s.a.-1116840577.html
Claro Perú,Publicado hace 1 hora,"La Victoria, Lima",2025,Practicante de Aseguramiento de Clientes y Facturación,https://www.bumeran.com.pe/empleos/practicante-de-aseguramiento-de-clientes-y-facturacion-claro-peru-1116840147.html
GRUPO PALMAS,Publicado hace 5 horas,"Santiago de Surco, Lima",2025,Practicante Profesional de Talento y Aprendizaje,https://www.bumeran.com.pe/empleos/practicante-profesional-de-talento-y-aprendizaje-grupo-palmas-1116838245.html
GRUPO PALMAS,Publicado hace 5 horas,"Santiago de Surco, Lima",2025,Practicante Profesional de Créditos y Cobranzas,https://www.bumeran.com.pe/empleos/practicante-profesional-de-creditos-y-cobranzas-grupo-palmas-1116838093.html
Unibanca,Publicado hace 6 horas,"Miraflores, Lima",2025,Practicante Pre Profesional de RRHH,https://www.bumeran.com.pe/empleos/practicante-pre-profesional-de-rrhh-unibanca-1116837397.html
INDRA PERU,Publicado hace 6 horas,"San Isidro, Lima",2025,Practicante pre profesional de Compras,https://www.bumeran.com.pe/empleos/practicante-pre-profesional-de-compras-indra-peru-1116837389.html
PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU (PUCP),Publicado hace 8 horas,"San Miguel, Lima",2025,Practicante Profesional de Administración o Gestión,https://www.bumeran.com.pe/empleos/practicante-profesional-de-administracion-o-gestion-pontificia-universidad-catolica-del-peru-pucp-1116836671.html
Confidencial,Publicado hace 6 horas,"Lima, Lima",2025,Practicante de Productos Nuevos (Comercial),https://www.bumeran.com.pe/empleos/practicante-de-productos-nuevos-comercial-1116760746.html
SIGLO BPO,Publicado hace 22 minutos,"San Isidro, Lima",2025,Practicante Profesional de Precios de Transferencia,https://www.bumeran.com.pe/empleos/practicante-profesional-de-precios-de-transferencia-siglo-bpo-1116704426.html
AHP HEADHUNTING,Actualizado hace 9 horas,"San Isidro, Lima",2025,Practicante profesional de reclutamiento y selección,https://www.bumeran.com.pe/empleos/practicante-profesional-de-reclutamiento-y-seleccion-ahp-headhunting-1116829724.html
PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU (PUCP),Actualizado hace 7 horas,"San Miguel, Lima",2025,Practicante Profesional de Ing. Industrial,https://www.bumeran.com.pe/empleos/practicante-profesional-de-ing.-industrial-pontificia-universidad-catolica-del-peru-pucp-1116828819.html
apparka,Actualizado hace 52 minutos,"San Isidro, Lima",2025,Practicante Profesional de Negocios - Operaciones,https://www.bumeran.com.pe/empleos/practicante-profesional-de-negocios-operaciones-apparka-1116827522.html
Cámara de Comercio de Lima,Publicado ayer,"Jesús María, Lima",2025,Practicante Profesional de Base de Datos,https://www.bumeran.com.pe/empleos/practicante-profesional-de-base-de-datos-camara-de-comercio-de-lima-1116827129.html
CORPORACIÓN PRIMAX S.A.,Actualizado hace 9 horas,"Santiago de Surco, Lima",2025,Practicante Profesional de Riesgos y Continuidad,https://www.bumeran.com.pe/empleos/practicante-profesional-de-riesgos-y-continuidad-corporacion-primax-s.a.-1116825944.html
Eficiencia Profesional,Publicado ayer,"Lima, Lima",2025,Practicante Profesional de Desarrollo Organizacional,https://www.bumeran.com.pe/empleos/practicante-profesional-de-desarrollo-organizacional-eficiencia-profesional-1116825021.html
Confidencial,Publicado ayer,"Miraflores, Lima",2025,Practicante Profesional - Ing. Civil,https://www.bumeran.com.pe/empleos/practicante-profesional-ing.-civil-1116642020.html
TP PERÚ,Actualizado hace 5 horas,"Lima, Lima",2025,Practicante Profesional de Comunicación - Inglés,https://www.bumeran.com.pe/empleos/practicante-profesional-de-comunicacion-ingles-tp-peru-1116493398.html
Rutas del Viajero,Publicado ayer,"Lima, Lima",2025,Practicante Comunity Manager y audiovisual,https://www.bumeran.com.pe/empleos/practicante-comunity-manager-y-audiovisual-rutas-del-viajero-1116788675.html
AGUNSA PERÚ,Publicado ayer,"Callao, Lima",2025,PRACTICANTE PRO CUSTOMER SERVICE,https://www.bumeran.com.pe/empleos/practicante-pro-customer-service-agunsa-peru-1116767804.html
SODEXO PERU,Publicado hace 2 días,"San Borja, Lima",2025,Practicante Pre Profesional de Administración,https://www.bumeran.com.pe/empleos/practicante-pre-profesional-de-administracion-sodexo-peru-1116820559.html
